paper_id	term_1	term_2	id	sentence_index	segment_length	Term1	Term2	Sentence	True Negative	True Positive
28734827	hlh30	vit1	28734827	5	157	@TERM$1	@TERM$2	we further show that the size and number of intestinal lipid droplets under starvation are altered in  @TERM$1  animals which can be rescued by knockdown of  @TERM$2 	0.9999858	1.4194275e-05
28734827	hlh30	vit1	28734827	4	158	@TERM$1	@TERM$2	we demonstrate that premature death of  @TERM$1  animals under starvation can be prevented by knockdown of either  @TERM$2  or vit5 encoding two different lipoproteins	0.9999819	1.8126897e-05
28734827	vit1	vit5	28734827	4	158	@TERM$1	@TERM$2	we demonstrate that premature death of hlh30 animals under starvation can be prevented by knockdown of either  @TERM$1  or  @TERM$2  encoding two different lipoproteins	0.9999989	1.0178584e-06
28734827	hlh30	vit5	28734827	4	158	@TERM$1	@TERM$2	we demonstrate that premature death of  @TERM$1  animals under starvation can be prevented by knockdown of either vit1 or  @TERM$2  encoding two different lipoproteins	0.9999869	1.31111565e-05
30788345	figure s8	aac	30788345	285	171	@TERM$1	@TERM$2	e idh1 mutants glutamate become depleted in worms  @TERM$1  connecting a malfunctioning tca cycle with cellular  @TERM$2  contentpredicted exchange fluxes for glutamate inside t	0.9999931	6.910712e-06
30788345	spermidine	cadaverine	30788345	197	208	@TERM$1	@TERM$2	putrescine is metabolized from arginine via either agmatine or ornithine and gives rise to  @TERM$1  the precursor of spermine figure s7a while  @TERM$2  is the product of lysine decarboxylation mccann 1982	0.9999987	1.2957046e-06
30788345	agmatine	cadaverine	30788345	197	208	@TERM$1	@TERM$2	putrescine is metabolized from arginine via either  @TERM$1  or ornithine and gives rise to spermidine the precursor of spermine figure s7a while  @TERM$2  is the product of lysine decarboxylation mccann 1982	0.99999845	1.5151163e-06
30788345	agmatine	spermidine	30788345	197	208	@TERM$1	@TERM$2	putrescine is metabolized from arginine via either  @TERM$1  or ornithine and gives rise to  @TERM$2  the precursor of spermine figure s7a while cadaverine is the product of lysine decarboxylation mccann 1982	0.9999951	4.868855e-06
30788345	arginine	cadaverine	30788345	197	208	@TERM$1	@TERM$2	putrescine is metabolized from  @TERM$1  via either agmatine or ornithine and gives rise to spermidine the precursor of spermine figure s7a while  @TERM$2  is the product of lysine decarboxylation mccann 1982	0.9999932	6.782841e-06
30788345	arginine	spermidine	30788345	197	208	@TERM$1	@TERM$2	putrescine is metabolized from  @TERM$1  via either agmatine or ornithine and gives rise to  @TERM$2  the precursor of spermine figure s7a while cadaverine is the product of lysine decarboxylation mccann 1982	0.99999857	1.4590033e-06
