Gene	Synonyms
FBgn0266564	CR45103
FBgn0051441	CG31441
FBgn0037420	CG15597
FBgn0011020	Sas-4
FBgn0039735	Nph
FBgn0004575	Syn
FBgn0039812	CG15548
FBti0062462	INE-1
FBgn0002905	PolQ
FBgn0039233	CG7006
FBgn0015737	Hmu
FBgn0262904	CR43259
FBgn0265167	CR44236
FBgn0039198	CG5768
FBgn0286871	CR46393
FBgn0037227	TwdlV
FBgn0010282	TfIIFalpha
FBgn0051143	Leu-CAA-2-3
FBgn0262290	mir-iab-8
FBgn0038445	CG14891
FBgn0051262	CG31262
FBgn0039492	CG6051
FBgn0250732	gfzf
FBti0019329	invader3
FBgn0037703	Kdm3
FBti0062162	invader4
FBgn0000439	Dfd
FBgn0016672	Ipp
FBgn0037552	CG7800
FBgn0267725	CR46058
FBgn0267559	CR45899
FBgn0039613	Nepl20
FBgn0037519	CG3014
FBti0063366	INE-1
FBgn0004186	95Cb
FBgn0039311	CG10513
FBgn0038100	Paip2
FBgn0261395	Prosalpha3T
FBgn0037464	Mst84B
FBgn0053329	Sp212
FBgn0267141	CR45581
FBgn0263025	HSPBAP1
FBgn0267160	CR45600
FBgn0289122	Ino80
FBgn0267443	CR45793
FBgn0039595	AstA-R2
FBgn0267865	CR46153
FBti0019454	jockey
FBgn0039238	CG7016
FBti0064276	INE-1
FBti0062134	Ivk
FBgn0038204	CG14357
FBgn0037794	CG6254
FBgn0051064	CG31064
FBgn0029157	ssh
FBgn0051265	CG31265
FBgn0039670	CG7567
FBti0215342	roo
FBgn0267801	CR46126
FBgn0267568	CR45908
FBgn0265201	CG44261
FBgn0037562	Nazo
FBgn0037608	mRpL19
FBgn0264490	Eip93F
FBgn0039769	CG15534
FBgn0262144	CG42870
FBgn0267612	CR45950
FBti0063293	INE-1
FBgn0039058	VhaAC39-2
FBgn0083943	CG34107
FBgn0037816	CG6345
FBgn0039811	CG15550
FBgn0051380	CG31380
FBgn0263579	mir-4947
FBgn0264504	CR43903
FBgn0042213	CG18731
FBgn0038946	rdhB
FBti0019450	roo
FBgn0038705	CG11626
FBgn0264912	CR44103
FBgn0039479	CG14257
FBgn0015221	Fer2LCH
FBti0063898	INE-1
FBgn0039504	CG14260
FBgn0038211	CG9649
FBgn0265157	CR44226
FBgn0051228	Pro-TGG-1-5
FBti0019326	Doc
FBgn0045469	Gr93c
FBti0063927	INE-1
FBgn0037406	Osi1
FBgn0038747	RhoGAP92B
FBti0063750	INE-1
FBgn0038387	blp
RR48351_transposable_element	Ivk; RR48351
FBgn0262994	CR43302
FBgn0051301	CG31301
FBgn0004882	orb
FBti0020304	Helena
FBti0062074	INE-1
FBti0059718	invader1
FBgn0051514	CR31514
FBgn0266705	CR45195
FBgn0051472	sgll
FBgn0039767	CG2218
FBgn0016123	Alp4
FBgn0037654	CG11983
FBgn0003134	Pp1alpha-96A
FBgn0264915	CR44106
FBgn0054008	CG34008
FBgn0039071	bb8
FBgn0038612	cona
FBgn0053629	CR33629
FBgn0028662	VhaPPA1-1
FBgn0083985	CG34149
FBti0019346	pogo
FBgn0039257	tnc
FBgn0051199	CG31199
FBgn0051016	CG31016
FBgn0039639	Alg13
FBgn0051477	ATPsynepsilonL
FBgn0017456	Ubc84D
FBgn0039485	Jhbp11
FBgn0051576	Ala-AGC-2-10
FBgn0053551	Arg-TCG-2-4
FBgn0284419	TS26
FBti0061724	INE-1
FBgn0038584	mTerf5
FBgn0263525	mir-4911
FBgn0038512	CG14330
FBgn0004573	5-HT7
FBgn0039152	Root
FBgn0042102	CG18745
FBgn0286507	vrs
FBgn0266741	CR45214
FBgn0051089	CG31089
FBgn0267566	CR45906
FBgn0001230	Hsp68
FBgn0243511	psidin
FBti0063920	INE-1
FBgn0267723	CR46056
FBgn0085307	CG34278
FBgn0283627	CR46300
FBgn0038660	Sgsh
FBgn0267202	CR45642
FBti0063150	Tc3
FBgn0275433	CR46265
FBgn0038353	CG5399
FBgn0263412	CR43458
FBgn0037672	sage
FBgn0039449	CG6425
FBgn0039740	ZIPIC
FBgn0010040	GstD4
FBgn0046756	CR33945
FBgn0040466	Dlip2
FBgn0266720	Snap24
FBgn0037679	Aduk
FBgn0038084	beat-Vc
FBgn0286199	shps
FBti0019447	mdg1
FBgn0053927	CG33927
FBgn0262717	Skel
FBgn0038589	CG18598
FBgn0039779	PH4alphaSG2
FBgn0046222	Wdr33
FBgn0264896	CR44087
FBgn0263594	lost
FBgn0000447	Dhod
FBti0061867	INE-1
FBgn0037250	CG1074
FBgn0039697	Etfb
FBgn0038007	Cyp313a3
FBgn0051437	CG31437
FBgn0039405	PIG-P
FBgn0267780	CR46111
FBgn0039357	CG4743
FBgn0039335	Vps33B
FBgn0001138	grn
FBgn0037298	CG2604
FBgn0264741	CG43999
FBgn0261844	pre-mod(mdg4)-V
FBgn0039705	Atg16
FBti0020385	FB; CG34376[FB]
FBgn0039229	Saf-B
FBgn0266748	CR45221
FBti0061685	INE-1
FBgn0004778	Ccp84Af
FBgn0038571	CG7215
FBgn0260659	CG42542
FBgn0039306	RIOK2
FBgn0038017	CG4115
FBgn0265418	CR44330
FBti0059857	INE-1
FBti0064267	INE-1
FBgn0038909	CG6569
FBgn0038072	CG6225
FBgn0015240	Hr96
FBgn0053203	CG33203
FBgn0039776	PH4alphaEFB
FBgn0039481	Cpr97Eb
FBgn0261996	CG42814
FBgn0037842	CG6567
FBti0019419	Bari1
FBgn0259212	cno
FBgn0026634	Cog2
FBti0019315	BS
FBgn0038772	mdlc
FBgn0037262	MED31
FBgn0027524	CG3909
FBgn0267648	pre-mod(mdg4)-G
FBgn0038549	Nnk
FBgn0039199	CG13615
FBgn0038221	IFT54
FBgn0038157	CG12538
FBgn0037223	TwdlU
FBti0019301	mdg3
FBgn0051093	CG31093
FBgn0283546	mir-9384
FBgn0051313	CG31313
FBti0061553	INE-1
FBgn0263289	scrib
FBgn0038838	TotB
FBgn0038136	CG8774
FBgn0285963	CG46339
FBgn0267197	CR45637
FBgn0039420	CG6154
FBgn0037462	sunz
FBgn0039531	CG5611
FBti0019365	pogo
RR43375_transposable_element	INE-1; RR43375
FBgn0037473	CG10068
FBgn0265425	CR44337
FBgn0039858	CycG
FBgn0266253	CR44948
FBgn0267988	CR46255
FBgn0266411	sima
FBti0062504	INE-1
FBgn0266064	Glys
FBgn0039678	Obp99a
FBti0061729	INE-1
FBgn0038685	CG14282
FBgn0085305	CG34276
FBgn0039125	Ndc1
FBgn0038389	CG5516
FBgn0265421	CR44333
FBgn0260487	CG42534
FBti0019348	flea
FBgn0026163	Lys-TTT-2-2
FBgn0039707	Prtl99C
FBgn0042711	Hex-t1
FBgn0286204	ich
FBgn0267952	CR46232
FBgn0051014	PH4alphaSG1
FBgn0010043	GstD7
FBgn0267435	chp
FBgn0038071	Dtg
FBgn0019936	RpS20
FBti0060321	INE-1
FBgn0265160	CR44229
FBgn0086605	CG9853
FBgn0267945	CR46225
FBti0019355	Rt1b
FBgn0039780	PH4alphaNE1
FBgn0003267	ro
FBgn0065087	649
FBgn0266404	CR45044
FBti0059892	HB
FBgn0039590	CG10011
FBgn0085319	CG34290
FBgn0038251	Hexim
FBti0062937	INE-1
FBgn0082957	Psi28S-3405d
FBti0063856	INE-1
FBgn0028690	Rpn5
FBti0019283	Burdock
FBgn0038680	Cyp12a5
FBgn0039564	Nep7
FBgn0038206	twf
FBgn0265423	CR44335
FBgn0037252	CG14650
FBgn0259736	CG42390
FBgn0039326	CG10562
FBgn0038123	CG8508
FBgn0037520	CG18268
FBti0062444	INE-1
FBgn0015230	Glut3
FBgn0267201	CR45641
FBgn0267114	CR45554
FBgn0037819	Phyhd1
FBgn0028734	Fmr1
FBgn0053512	dpr4
FBgn0039565	CG4884
FBgn0037997	CG14742
FBgn0040554	CR17025
FBgn0263738	Ada2a
FBgn0051460	CG31460
FBgn0000527	e
FBgn0038440	Gr89a
FBti0061679	INE-1
FBgn0037412	Osi4
FBgn0038847	CG12278
FBgn0037436	Hr83
FBgn0039734	Tace
FBgn0266722	Trs33
FBgn0260468	CG7950
FBgn0037665	St2
FBti0019310	pogo
FBgn0267130	CR45570
FBgn0063298	CR31429
FBgn0039370	CG4956
FBgn0039044	p53
FBgn0051358	CG31358
FBgn0265159	CR44228
FBgn0261289	CheB98a
FBgn0038968	CG12499
FBgn0037727	Nepl12
FBti0019382	F
FBgn0000140	asp
FBgn0260003	Dys
FBti0019337	roo
FBgn0265202	CR44262
FBgn0039863	Zmynd8
FBti0019303	S
FBgn0038683	CG11779
FBgn0259740	CG42394
FBgn0038034	Cyp9f3
FBti0059784	INE-1
FBgn0037470	Tailor
FBgn0000659	fkh
FBgn0051370	CG31370
FBgn0267763	CR46094
FBgn0037626	CG8236
FBgn0039673	CG7568
FBgn0045471	Gr92a
FBti0061079	INE-1
FBgn0039124	tbrd-1
FBgn0037244	CG14647
FBgn0287670	CR46497
FBgn0015032	Cyp4c3
FBgn0004842	RYa-R
FBgn0039577	CG12516
FBgn0039437	TwdlL
FBgn0037577	CG7443
FBgn0039844	CG1607
FBgn0266400	CR45040
FBgn0038395	Jhbp5
FBgn0037550	CG9667
FBgn0263402	CG43448
FBgn0038981	CG5346
FBgn0262538	CG43092
FBgn0039408	CG14551
FBgn0004188	96Aa
FBgn0038469	CG4009
FBgn0083946	lobo
FBgn0267686	CR46022
FBgn0053092	P5CDh2
FBgn0053192	MtnD
FBgn0260467	CG7071
FBgn0010803	TrpRS
FBgn0038088	CG10126
FBgn0026315	Ugt35A1
FBgn0037824	CG14684
FBgn0038583	CG7183
FBgn0037364	Rab23
FBgn0267786	CR46117
FBgn0039118	CG10208
FBgn0264985	CR44136
FBgn0266418	wake
FBgn0037678	CG16749
FBti0061864	INE-1
FBgn0265426	CR44338
FBgn0037442	gzl
FBti0062546	INE-1
FBgn0027503	CG11970
FBgn0261436	DhpD
FBgn0262462	mir-iab-4
FBgn0037312	CG11999
FBgn0038840	Grik
FBgn0051561	Osi16
FBgn0261842	pre-mod(mdg4)-AE
FBgn0266410	drn
FBgn0039232	sosie
FBgn0266252	CR44947
FBgn0051162	Ser-GCT-2-4
FBgn0262367	mir-13b-1
FBgn0025571	SF1
FBgn0038014	CG10041
FBgn0038407	CG6126
FBgn0262839	CG43203
FBgn0039738	Mgat2
FBgn0053096	CG33096
FBgn0038826	Syp
FBgn0039348	Npl4
FBti0062584	H
FBgn0286884	CR46406
FBgn0051087	CG31087
FBgn0265420	CR44332
FBgn0051146	Nlg1
FBgn0065066	Me28S-A2564
FBgn0264706	CR43975
FBgn0085382	CG34353
FBgn0037749	CG9471
FBgn0038640	CG7706
FBgn0039439	TwdlK
FBgn0267337	rn
FBgn0267104	CG45544
FBti0019370	S
FBgn0051131	CG31131
FBgn0037413	Osi5
FBgn0000036	nAChRalpha1
FBgn0039870	CG1896
FBgn0051345	CG31345
FBgn0267956	CR46236
FBgn0038092	beat-Vb
FBgn0085405	CG34376
FBti0059901	INE-1
FBgn0040271	Sulf1
FBgn0263501	CR43490
FBgn0011998	Val-CAC-2-2
FBgn0019624	COX5A
FBgn0039117	tst
FBgn0037912	sea
FBgn0039462	CG14252
FBti0019394	roo
FBgn0053654	CG33654
FBgn0037535	PIG-H
FBgn0038977	CG5376
FBgn0039299	CG11854
FBgn0039453	CG6403
FBgn0037563	CG11672
FBgn0263002	CR43310
FBti0019412	Doc; Ir93a[iso-1]
FBgn0011970	Ser-GCT-2-1
FBgn0038412	Zip89B
FBti0060913	INE-1
FBgn0038199	CCHa1
FBgn0010379	Akt
FBgn0039252	CG11771
FBgn0024288	Sox100B
FBgn0086362	spn-F
FBgn0063649	CG6006
FBti0020311	G4
FBgn0261561	CG42675
FBti0019423	jockey
FBgn0039711	CG7824
FBgn0038577	CG12321
FBgn0027578	Nepl21
FBgn0019957	ND-42
FBgn0038095	Cyp304a1
FBgn0043043	Desat2
FBgn0051105	ppk22
FBgn0266260	CR44955
FBti0019302	Tc1
FBgn0039002	CG17625
FBgn0004183	82Eb
FBgn0026441	ear
FBti0062066	INE-1
FBgn0038053	CG18549
FBgn0266170	pre-mod(mdg4)-C
FBgn0267137	CR45577
FBgn0020249	stck
FBgn0266413	CR45053
FBgn0040078	pont
FBgn0038125	CG8141
FBgn0038320	Cyfip
FBgn0083965	CG34129
FBgn0278600	CG46270
FBti0019323	pogo
FBgn0038750	CG4465
FBti0019281	mdg3
FBti0019387	diver
FBgn0037981	Spt3
FBgn0037433	CG17919
FBgn0039500	CG5984
FBgn0038797	Dic2
FBgn0028684	Rpt5
FBgn0266751	CR45224
FBgn0038505	CG17283
FBgn0039169	Spps
FBgn0002940	ninaE
FBgn0267119	CR45559
FBti0059796	H
FBgn0038846	CG5697
FBti0061708	INE-1
FBgn0039441	TwdlN
FBgn0039303	CG11857
FBgn0265156	CR44225
FBti0062531	INE-1
FBgn0037634	hng2
FBgn0039676	ppk20
FBgn0261006	83E4-5
FBgn0262214	mir-929
FBgn0037569	tex
FBgn0039726	eIF2Balpha
FBgn0259146	fid
FBti0061873	INE-1
FBgn0037753	CG12947
FBgn0051010	CG31010
FBgn0037989	ATP8B
FBgn0039703	CG7829
FBgn0038475	Keap1
FBgn0037294	CG12590
FBti0061727	INE-1
FBgn0004387	Klp98A
FBgn0004587	B52
FBgn0039003	wfs1
FBgn0011966	Arg-TCG-2-3
FBgn0039483	CG14259
FBgn0266916	Cenp-C
FBgn0285959	1
FBgn0263995	cpo
FBti0060896	H
FBgn0262174	mir-993
FBgn0039634	alpha-Man-Ib
FBgn0085315	CG34286
FBgn0266735	CR45208
FBgn0260226	CG42500
FBti0061870	INE-1
FBgn0039778	Jon99Fi
FBgn0051522	CG31522
FBgn0085391	trv
FBgn0266249	CR44944
FBgn0038472	bdwf
FBti0059903	INE-1
FBgn0014380	RhoL
FBgn0039202	CG13622
FBgn0037891	CG5214
FBgn0039714	Zip99C
FBgn0266241	CR44936
FBgn0039056	CenB1A
FBgn0001149	GstD1
FBgn0266246	CR44941
FBgn0039205	CG13623
FBti0019297	Tc1
FBgn0037275	CG14655
FBgn0262542	CR43096
FBgn0037344	CG2926
FBti0062551	INE-1
FBgn0039850	CG11333
FBgn0041710	yellow-f
FBgn0038377	CG9632
FBgn0027338	Kap-alpha3
FBti0019421	roo
FBgn0053547	Rim
FBgn0020280	laf
FBgn0283554	mir-9371
FBgn0037844	CG4570
FBgn0037685	Or85f
FBgn0038975	Nrx-1
FBgn0039126	CG13601
FBgn0265276	l(3)neo38
FBgn0004103	Pp1-87B
FBgn0267199	CR45639
FBgn0016693	Past1
FBgn0038191	Kots
FBgn0002865	Mst98Ca
FBgn0265040	CR44157
FBgn0038354	CG5404
FBgn0051551	CG31551
FBgn0263236	SP1029
FBgn0267808	CR46133
FBgn0037296	Prosbeta2R2
FBgn0259974	Sfp84E
FBgn0264493	rdx
FBgn0042094	Ak3
FBti0061682	INE-1
FBgn0038348	AOX2
FBgn0039756	CG9743
FBgn0039655	CG14507
FBgn0261086	Syt14
FBgn0267653	CR45991
FBgn0265317	CG44290
FBgn0038820	CG4000
FBgn0262871	lute
FBgn0002632	E(spl)m6-BFM
FBgn0012001	Val-CAC-2-4
FBgn0038451	CG14893
FBgn0263343	CR43424
FBgn0003117	pnr
FBti0063296	INE-1
FBgn0037985	ssp5
FBgn0037837	CG14693
FBgn0040253	Ugt35E1
FBgn0038429	CG14882
FBgn0038203	Or88a
FBgn0037359	MED27
FBgn0267128	CR45568
FBgn0037778	mtTFB2
FBgn0053207	pxb
FBgn0039235	CAH4
FBgn0011840	Ala-AGC-2-3
FBgn0040623	Spase12
FBgn0039359	RpL27
FBgn0287211	CG46441
FBgn0039421	Nil
FBti0061077	INE-1
FBgn0052944	CG32944
FBgn0038257	smp-30
FBgn0038006	Cyp313a2
FBgn0262559	Mdh2
FBgn0039589	CG9986
FBgn0082983	Psi28S-2626
FBgn0037398	CG15580
FBgn0085404	CG34375
FBgn0028691	Rpn9
FBgn0037853	CG14696
FBgn0037834	Art1
FBgn0039737	CG7920
RR48364_transposable_element	Transpac; RR48364
FBgn0051068	CG31068
FBgn0038290	CG6912
FBgn0039955	CG41099
FBgn0261994	CG42812
FBgn0037526	ArgRS-m
FBti0019307	diver
FBgn0263047	CG43342
FBgn0037705	mura
FBgn0267673	CR46009
FBgn0039835	mRpL32
FBgn0037584	CG7963
FBgn0037609	Unc50
FBgn0051407	CG31407
FBgn0264857	iab8
FBgn0037347	SecS
FBgn0037525	CG17816
FBti0063885	jockey2
FBgn0038865	cDIP
FBgn0038659	EndoA
FBgn0052855	CG32855
FBti0062628	hopper2
FBgn0039089	beat-IV
FBti0019282	Quasimodo
FBti0019295	S
FBgn0039764	CG15535
FBgn0265271	CG14717
FBgn0038418	pad
RR48311_transposable_element	RR48311
FBgn0039832	CG15563
FBti0060346	INE-1
FBgn0039594	snu
FBgn0014366	noi
FBgn0262025	CR42836
FBgn0038679	CG6040
FBgn0038755	Hs6st
FBgn0046332	gskt
FBgn0051159	mRRF2
FBgn0267937	CR46217
FBgn0011993	Thr-AGT-1-5
FBgn0051017	PH4alphaNE3
FBgn0027598	cindr
FBgn0014931	kipf
FBgn0038058	CG5608
FBgn0026597	Axn
FBgn0267766	CR46097
FBti0215350	Rt1a
FBgn0267958	CR46238
FBti0063270	INE-1
FBgn0263353	CG11000
FBgn0038131	CG15888
FBgn0027508	Tnks
FBgn0267567	CR45907
FBti0060979	H
FBgn0037885	CG17721
FBgn0039180	CG5715
FBgn0037377	Hpf1
FBgn0039110	RanBP3
FBgn0267236	CG45676
FBgn0003513	ss
FBgn0039137	Epp
FBti0019317	S
FBgn0037777	CG11722
FBgn0267149	CR45589
FBgn0037883	Dph3
FBgn0026164	Lys-TTT-2-3
FBgn0039419	CG12290
FBgn0004185	95Ca
FBgn0038733	Acsx3
FBgn0045980	niki
FBgn0083966	CG34130
FBgn0039855	CG1638
FBgn0067783	DPCoAC
FBti0020321	Stalker2
FBgn0085384	CG34355
FBgn0038531	CG14325
FBgn0038113	CG11668
FBgn0267779	CR46110
FBti0019288	S
FBgn0243514	eater
FBgn0037368	CG1239
FBgn0267115	CR45555
FBti0062528	INE-1
FBgn0051245	CG31245
FBgn0038527	CG14324
FBgn0038405	CG8927
FBti0063773	INE-1
FBgn0037502	wa-cup
FBgn0051274	CG31274
FBgn0039491	CG6059
FBgn0264903	CG44094
FBgn0038478	cal1
FBgn0037554	PolI
FBgn0038332	CG6136
FBgn0265163	CR44232
FBgn0042206	GstD10
FBti0020359	micropia
FBgn0024432	Dlc90F
FBgn0082979	Psi28S-3091a
FBgn0262362	CG43060
FBgn0037809	CG12818
FBgn0037850	CG14695
FBgn0051463	CG31463
FBgn0038665	euc
FBgn0039077	CG17380
FBgn0262794	CG43175
FBti0061723	INE-1
FBgn0051004	mesh
FBti0063883	INE-1
FBgn0038315	CG14866
FBti0019334	Transpac
FBgn0263399	CG43445
FBgn0039440	TwdlJ
FBgn0053105	p24-2
FBgn0037652	CG11980
FBti0059805	INE-1
FBgn0038504	Sur-8
FBgn0037622	CG8202
FBgn0086134	Prosalpha2
FBgn0264790	CR44020
FBgn0010222	Nmdmc
FBgn0028471	Nab2
FBti0063109	INE-1
FBgn0037465	CG1105
FBgn0288966	Med
FBgn0038739	CG4686
FBgn0037224	TwdlF
FBti0062939	INE-1
FBti0061075	INE-1
FBti0019364	copia
FBgn0288976	Dnaaf5
FBgn0038819	Cpr92F
FBgn0038855	Tbc1d22
FBgn0283562	mir-9383
FBgn0265449	CR44349
FBgn0038115	CG7966
FBgn0038769	Regnase-1
FBgn0262962	CG43273
RR48332_transposable_element	RR48332
FBgn0023023	CRMP
FBgn0038248	CG7886
FBgn0261840	pre-mod(mdg4)-X
FBgn0039741	CG7943
FBgn0037565	CG9626
FBgn0265083	CG44194
FBgn0000564	Eh
FBgn0037574	Coq2
FBti0063263	I
FBgn0266733	CR45206
FBgn0003261	Rm62
FBgn0051573	Pro-TGG-1-3
FBgn0266236	CR44931
FBgn0037669	Ibf2
FBgn0267206	CR45646
FBgn0262420	mir-318
FBgn0039200	CG13616
FBgn0051229	CG31229
FBgn0039473	CG17191
FBgn0039804	CG15544
FBgn0010389	htl
FBgn0267800	CR46125
FBgn0022338	dnk
FBgn0000303	ChAT
FBgn0038868	Ddrgk1
FBti0063926	INE-1
FBgn0037548	CG7900
FBgn0262146	MtnE
FBgn0039049	CG6726
FBgn0051390	MED7
FBgn0264986	CR44137
FBgn0000463	Delta
FBgn0038741	CG17186
FBgn0037979	GCC185
FBgn0266407	CR45047
FBgn0027378	MRG15
FBgn0261932	CG42798
FBgn0038536	CG7655
FBgn0037862	mAcon2
FBgn0260860	Bet5
FBgn0038437	Sdhaf3
FBgn0262539	CG43093
FBgn0038735	MICU3
FBgn0266598	Kmn2
FBgn0037350	Dph4
FBgn0038235	CG8461
FBgn0003450	snk
FBgn0037715	CG9399
FBgn0261061	Sfp96F
FBgn0262588	CG43125
FBgn0082975	Psi28S-3305b
FBgn0039376	CG14354
FBti0063774	INE-1
FBgn0069242	eca
FBgn0038912	CG6656
FBgn0038931	CG13407
FBti0062193	Tc1-2
FBgn0037581	CG7352
FBgn0038751	CG4770
FBgn0259215	Ir93a
FBgn0038439	Cad89D
FBgn0039343	CG5111
FBgn0039630	CG11843
FBgn0038566	bard
FBti0019442	I
FBgn0038012	CG10013
FBgn0038749	Xport-A
FBgn0039490	CG5882
FBgn0037234	CG9795
FBgn0038470	CG18213
FBti0063789	INE-1
FBgn0063127	CR33938
FBgn0037282	CG14657
FBgn0039478	Nep5
FBgn0039170	CG13609
FBgn0262009	CG42827
FBgn0037363	Atg17
FBgn0038122	CG8138
FBgn0262424	mir-10
FBgn0262846	CG43210
FBti0062144	invader4
FBgn0051097	CG31097
RR42049_transposable_element	Doc; RR42049
FBgn0051098	CG31098
FBgn0038602	CG7126
FBgn0261060	Sfp93F
FBgn0038325	Atg4b
FBgn0039487	gb
FBgn0037341	CG12746
FBgn0037270	eIF3f1
FBgn0038271	UQCR-C1
FBgn0037877	CG6689
FBgn0051391	CG31391
FBgn0039728	CG7896
FBgn0051568	Ala-AGC-2-6
FBgn0037539	CG10435
FBgn0040575	CG15922
FBgn0039038	CG6688
RR48407_transposable_element	Doc; RR48407
FBgn0264430	CR43848
FBgn0039084	CG10175
FBgn0044871	Gos28
FBgn0265048	cv-d
FBgn0039790	CG2246
FBgn0262004	CG42822
FBgn0262527	nsl1
FBgn0039677	ppk30
FBgn0024909	Taf7
FBgn0039856	CG1774
FBgn0039508	CG3368
FBgn0038662	Mpc1
FBgn0037933	Ho
FBgn0051091	CG31091
FBti0061732	INE-1
FBgn0051497	Thr-AGT-1-3
FBti0062394	Rt1c
FBgn0038150	yellow-e3
FBgn0039041	CG13838
FBgn0051410	Npc2e
FBti0019414	mdg1; CG42335[iso-1]
FBgn0039201	DZIP1
FBgn0039415	CG6142
FBgn0039489	CG5880
FBti0019386	invader4; sra[invader4.1371]
FBti0019406	roo
FBgn0027095	Manf
FBgn0039622	eIF4E6
FBgn0278604	dmt
FBgn0024833	AP-1mu
FBgn0038234	mRpL11
RR42071_transposable_element	RR42071
FBgn0037616	CG8136
FBgn0037573	CG7483
FBgn0011965	Arg-TCG-4-1
FBgn0263040	CG43335
FBgn0025781	Cdc16
FBgn0259705	CG42359
FBgn0264712	CG1172
FBgn0286930	CG46427
FBgn0000416	Sap-r
FBgn0263023	CG43318
FBgn0260766	CG42564
FBgn0037614	TMEM216
FBgn0004652	fru
FBgn0039591	CG9988
FBgn0038714	Cpr92A
FBgn0037579	COX7AL
FBti0062882	INE-1
FBgn0051494	Gly-TCC-1-1
FBgn0039736	CG7912
FBgn0038002	CG12256
FBgn0046696	RNA
FBgn0003358	Jon99Ci
FBgn0003339	Scr
FBgn0020626	Osbp
FBgn0046225	CG17230
FBti0019464	jockey
FBgn0037797	CG12420
FBgn0265140	Meltrin
FBgn0037845	CG14694
FBti0063896	INE-1
FBgn0039617	DIP-gamma
FBgn0051141	CG31141
FBgn0038535	alt
FBgn0259139	glo
FBgn0037229	flip
FBgn0286506	Mpi
FBgn0038167	Lkb1
FBgn0023212	EloB
FBgn0004629	Cys
FBgn0037926	Elp1
FBgn0037488	CG14607
FBgn0264837	CR44045
FBgn0262422	mir-1011
FBgn0262379	mir-1012
FBgn0051549	CG31549
FBgn0061476	Zwilch
FBgn0015229	glec
FBgn0037714	CG9396
FBti0215297	G4
FBgn0039833	CG15564
FBgn0027620	Acf
FBgn0037315	Cerk
FBgn0051028	Rsod
FBgn0037483	CG14609
FBti0019314	HMS-Beagle2
RR48337_transposable_element	S; RR48337
FBgn0039552	CG12426
FBgn0003567	su(Hw)
FBgn0027951	MTA1-like
FBgn0037994	eIF3d2
FBgn0037529	mRpS9
FBgn0038309	Amt
FBgn0012025	Tyr-GTA-1-7
FBgn0051189	CG31189
FBgn0262971	CR43282
FBgn0051084	CR31084
FBgn0004863	C15
FBgn0263500	CR43489
FBgn0038145	Droj2
FBgn0260940	lsn
FBgn0010015	CanA1
FBgn0284234	CG46318
FBgn0263413	CR43459
FBgn0263777	CG43694
FBgn0017550	Rga
FBgn0026576	Pisd
FBti0060834	S
FBgn0037618	ouib
FBgn0040252	Ugt303A1
FBti0062757	gtwin
FBgn0038458	VhaM9.7-d
FBgn0024321	NK7.1
FBgn0039309	CG11891
FBgn0024957	Irp-1B
FBgn0267941	CR46221
FBgn0003165	pum
FBgn0263597	Acp98AB
