Synonym1	ID1	Type1	Synonym2	ID2	Type2	Source
cdpdiacylglycerol	CHEBI:17962	metabolite	pi	CHEBI:53806	metabolite	database
cdpdiacylglycerol	CHEBI:17962	metabolite	pgp	CHEBI:72329	metabolite	database
pc	CHEBI:16110	metabolite	pa	CHEBI:7959	metabolite	database
cdpdiacylglycerol	CHEBI:17962	metabolite	pc	CHEBI:16110	metabolite	database
cdpdiacylglycerol	CHEBI:17962	metabolite	pa	CHEBI:7959	metabolite	database
acylcoa	CHEBI:17984	metabolite	lpa	LMGP10050045	lipid	database
fattyacid	CHEBI:35366	metabolite	acylcoa	CHEBI:17984	metabolite	database
pa	CHEBI:7959	metabolite	cdpdiacylglycerol	CHEBI:17962	metabolite	database
acylcoa	CHEBI:17984	metabolite	fattyacid	CHEBI:35366	metabolite	database
cdpdiacylglycerol	CHEBI:17962	metabolite	ps	CHEBI:18303	metabolite	database
ceramide	CHEBI:17761	metabolite	nacylceramidephosphate	CHEBI:16197	metabolite	database
fattyalcohol	CHEBI:24026	metabolite	fattyacid	CHEBI:35366	metabolite	database
sphingomyelin	CHEBI:17636	metabolite	ceramide	CHEBI:17761	metabolite	database
sphingomyelin	CHEBI:17636	metabolite	nacylceramidephosphate	CHEBI:16197	metabolite	database
lpa	LMGP10050045	lipid	mg	CHEBI:25107	metabolite	database
nacylceramidephosphate	CHEBI:16197	metabolite	ceramide	CHEBI:17761	metabolite	database
pgp	CHEBI:72329	metabolite	pg	LMGP04040008	lipid	database
acylcoa	CHEBI:17984	metabolite	fattyalcohol	CHEBI:24026	metabolite	database
lpc	CHEBI:16728	metabolite	lpa	LMGP10050045	lipid	database
lpc	CHEBI:16728	metabolite	mg	CHEBI:25107	metabolite	database
pc	CHEBI:16110	metabolite	ps	CHEBI:18303	metabolite	database
dihydroceramide	CHEBI:31488	metabolite	ceramide	CHEBI:17761	metabolite	database
squalene	LMPR0106010002	lipid	tetrahymanol	CHEBI:9493	metabolite	database
acylcoa	CHEBI:17984	metabolite	oacylrcarnitine	CHEBI:75659	metabolite	database
ps	CHEBI:18303	metabolite	pe	CHEBI:16038	metabolite	database
pe	CHEBI:16038	metabolite	pc	CHEBI:16110	metabolite	database
pe	CHEBI:16038	metabolite	ps	CHEBI:18303	metabolite	database
lanosterol	CHEBI:16521	metabolite	2425dihydrolanosterol	CHEBI:28113	metabolite	database
7alphahydroxy4cholesten3one	CHEBI:17899	metabolite	7alpha12alphadihydroxy5betacholestan3one	LMST04030113	lipid	database
7alphahydroxycholesterol	CHEBI:17500	metabolite	7alpha25dihydroxycholesterol	CHEBI:37623	metabolite	database
cholesterol	LMST01010001	lipid	56alphaepoxycholesterol	CHEBI:49305	metabolite	database
7alphahydroxycholesterol	CHEBI:17500	metabolite	7alphahydroxy4cholesten3one	CHEBI:17899	metabolite	database
7alpha12alphadihydroxy5betacholestan3one	LMST04030113	lipid	5betacholestane3alpha7alpha12alphatriol	LMST04030035	lipid	database
25r5betacholestane3alpha7alpha12alpha26tetrol	LMST04030160	lipid	25r3alpha7alpha12alphatrihydroxy5betacholestan26oicacid	LMST04030151	lipid	database
7alpha25dihydroxycholesterol	CHEBI:37623	metabolite	7alpha25dihydroxycholestenone	CHEBI:81013	metabolite	database
cholesterol	LMST01010001	lipid	24shydroxycholesterol	CHEBI:34310	metabolite	database
25hydroxycholesterol	CHEBI:42977	metabolite	7alpha25dihydroxycholesterol	CHEBI:37623	metabolite	database
7alphahydroxycholesterol	CHEBI:17500	metabolite	7alpha27dihydroxycholesterol	CHEBI:18431	metabolite	database
cholesterol	LMST01010001	lipid	7alphahydroxycholesterol	CHEBI:17500	metabolite	database
cholesterol	LMST01010001	lipid	7betahydroxycholesterol	CHEBI:42989	metabolite	database
7alpha12alphadihydroxy5betacholestan3one	LMST04030113	lipid	7alpha12alpha25r26trihydroxy5betacholestan3one	LMST04030246	lipid	database
7alpha12alpha25r26trihydroxy5betacholestan3one	LMST04030246	lipid	25r5betacholestane3alpha7alpha12alpha26tetrol	LMST04030160	lipid	database
7alpha25dihydroxycholestenone	CHEBI:81013	metabolite	7alpha12alpha25trihydroxycholest4en3one	LMST04030105	lipid	database
7alpha12alpha25trihydroxycholest4en3one	LMST04030105	lipid	7alpha12alpha2425tetrahydroxycholest4en3one	LMST04030248	lipid	database
7alpha12alpha2425tetrahydroxycholest4en3one	LMST04030248	lipid	7a12a25trihydroxycholest4en324dione	LMST04030249	lipid	database
7a12a25trihydroxycholest4en324dione	LMST04030249	lipid	7alpha12alphadihydroxy3oxochol4en24oicacid	LMST04010241	lipid	database
7alpha12alphadihydroxy3oxochol4en24oicacid	LMST04010241	lipid	cholicacid	LMST04010001	lipid	database
7alphahydroxy3oxocholest424edien26oylcoa	LMST04030258	lipid	7alpha24rdihydroxy3oxocholest4en25r26oylcoa	LMST04030256	lipid	database
7alpha24rdihydroxy3oxocholest4en25r26oylcoa	LMST04030256	lipid	7alphahydroxy324bisoxocholest4en25r26oylcoa	LMST04030254	lipid	database
n7alphahydroxy3oxochol4en24oylglycine	LMST05030020	lipid	7alphahydroxy3oxochol4en24oicacid	LMST04010239	lipid	database
7alphahydroxy3oxocholest424edien26oylcoa	LMST04030258	lipid	7alpha24sdihydroxy3oxocholest4en25r26oylcoa	LMST04030251	lipid	database
7alpha24sdihydroxy3oxocholest4en25r26oylcoa	LMST04030251	lipid	7alphahydroxy324bisoxocholest4en25r26oylcoa	LMST04030254	lipid	database
7dehydrocholesterol	CHEBI:17759	metabolite	previtamind3	CHEBI:8403	metabolite	database
previtamind3	CHEBI:8403	metabolite	vitamind3	LMST03020001	lipid	database
palmitoylcoa	CHEBI:15525	metabolite	3ketosphinganine	CHEBI:17862	metabolite	database
3ketosphinganine	CHEBI:17862	metabolite	sphinganine	LMSP01020001	lipid	database
sphingosine	LMSP01010001	lipid	sphingosine1phosphate	CHEBI:37550	metabolite	database
propionylcoa	CHEBI:15539	metabolite	smethylmalonylcoa	CHEBI:15466	metabolite	database
butyrylcoa	CHEBI:15517	metabolite	2sethylmalonylcoa	CHEBI:60909	metabolite	database
crotonoylcoa	CHEBI:15473	metabolite	2sethylmalonylcoa	CHEBI:60909	metabolite	database
3s3hydroxy3methylglutarylcoa	CHEBI:43074	metabolite	mevalonicacid	CHEBI:17710	metabolite	database
mevalonicacid	CHEBI:17710	metabolite	mevalonatep	LMFA01050415	lipid	database
isopentenylpyrophosphate	CHEBI:16584	metabolite	dimethylallylpyrophosphate	CHEBI:16057	metabolite	database
pip3	CHEBI:16618	metabolite	pi	CHEBI:53806	metabolite	database
pi	CHEBI:53806	metabolite	pip3	CHEBI:16618	metabolite	database
ceramide	CHEBI:17761	metabolite	nacyl4e14zsphingadienine	CHEBI:139573	metabolite	database
acylcoa	CHEBI:17984	metabolite	1acylglycerone3phosphate	CHEBI:15835	metabolite	database
4hydroxyestradiol	CHEBI:62845	metabolite	4methoxyestradiol17beta	CHEBI:136975	metabolite	database
4hydroxyestrone	CHEBI:87602	metabolite	4methoxyestrone	CHEBI:136972	metabolite	database
2hydroxyestrone	CHEBI:1156	metabolite	2methoxyestrone	CHEBI:1189	metabolite	database
betaestradiol	LMST02010001	lipid	4hydroxyestradiol	CHEBI:62845	metabolite	database
betaestradiol	LMST02010001	lipid	estriol	CHEBI:27974	metabolite	database
estriol	CHEBI:27974	metabolite	16alphahydroxyestrone	CHEBI:776	metabolite	database
estrone	CHEBI:17263	metabolite	16alphahydroxyestrone	CHEBI:776	metabolite	database
estrone	CHEBI:17263	metabolite	4hydroxyestrone	CHEBI:87602	metabolite	database
estrone	CHEBI:17263	metabolite	2hydroxyestrone	CHEBI:1156	metabolite	database
estrone	CHEBI:17263	metabolite	estrone3sulfate	LMST02010043	lipid	database
estrone3sulfate	LMST02010043	lipid	estrone	CHEBI:17263	metabolite	database
betaestradiol	LMST02010001	lipid	estrone	CHEBI:17263	metabolite	database
testosterone	CHEBI:17347	metabolite	betaestradiol	LMST02010001	lipid	database
androstenedione	CHEBI:16422	metabolite	estrone	CHEBI:17263	metabolite	database
testosterone	CHEBI:17347	metabolite	androstenedione	CHEBI:16422	metabolite	database
cholesterol	LMST01010001	lipid	22rhydroxycholesterol	CHEBI:67237	metabolite	database
22rhydroxycholesterol	CHEBI:67237	metabolite	20r22r2022dihydroxycholesterol	CHEBI:1294	metabolite	database
20r22r2022dihydroxycholesterol	CHEBI:1294	metabolite	pregnenolone	CHEBI:16581	metabolite	database
pregnenolone	CHEBI:16581	metabolite	progesterone	LMST02030159	lipid	database
pregnenolone	CHEBI:16581	metabolite	17alphahydroxypregnenolone	CHEBI:28750	metabolite	database
17alphahydroxypregnenolone	CHEBI:28750	metabolite	17alphahydroxyprogesterone	LMST02030161	lipid	database
progesterone	LMST02030159	lipid	17alphahydroxyprogesterone	LMST02030161	lipid	database
progesterone	LMST02030159	lipid	5alphapregnane320dione	LMST02030170	lipid	database
5alphapregnane320dione	LMST02030170	lipid	allopregnanolone	CHEBI:50169	metabolite	database
